Freq.	V(out)
3.23593656929626e+002	1.94591316320591e-001,-5.62571888703425e-002
3.31131121482589e+002	1.93726502783705e-001,-5.10196074512545e-002
3.38844156139200e+002	1.92985352150433e-001,-4.57917295065262e-002
3.46736850452529e+002	1.92366746498827e-001,-4.05747316646880e-002
3.54813389233573e+002	1.91869662450500e-001,-3.53697456519417e-002
3.63078054770099e+002	1.91493171150724e-001,-3.01778688500747e-002
3.71535229097170e+002	1.91236437608863e-001,-2.50001747155706e-002
3.80189396320558e+002	1.91098719409884e-001,-1.98377230392317e-002
3.89045144994278e+002	1.91079364806270e-001,-1.46915700256355e-002
3.98107170553494e+002	1.91177810198323e-001,-9.56277817138668e-003
4.07380277804110e+002	1.91393577009711e-001,-4.45242592040842e-003
4.16869383470332e+002	1.91726267964129e-001,6.38382926525710e-004
4.26579518801589e+002	1.92175562768303e-001,5.70851007217034e-003
4.36515832240163e+002	1.92741213206079e-001,1.07567738788753e-002
4.46683592150960e+002	1.93423037648334e-001,1.57819408479880e-002
4.57088189614872e+002	1.94220914983674e-001,2.07827174523134e-002
4.67735141287195e+002	1.95134777975609e-001,2.57577423535927e-002
4.78630092322635e+002	1.96164606053010e-001,3.07055790393125e-002
4.89778819368443e+002	1.97310417542236e-001,3.56247089155759e-002
5.01187233627268e+002	1.98572261351438e-001,4.05135248951876e-002
5.12861383991361e+002	1.99950208120102e-001,4.53703255224679e-002
5.24807460249769e+002	2.01444340850055e-001,5.01933096785521e-002
5.37031796370249e+002	2.03054745037821e-001,5.49805719129670e-002
5.49540873857620e+002	2.04781498332399e-001,5.97300984490377e-002
5.62341325190345e+002	2.06624659747289e-001,6.44397639120801e-002
5.75439937337152e+002	2.08584258460843e-001,6.91073288302793e-002
5.88843655355584e+002	2.10660282244713e-001,7.37304379585831e-002
6.02559586074353e+002	2.12852665566374e-001,7.83066194757189e-002
6.16595001861477e+002	2.15161277418216e-001,8.28332851035311e-002
6.30957344480188e+002	2.17585908932569e-001,8.73077311961062e-002
6.45654229034650e+002	2.20126260849097e-001,9.17271408435481e-002
6.60693448007591e+002	2.22781930908210e-001,9.60885870317047e-002
6.76082975391976e+002	2.25552401251324e-001,1.00389036894553e-001
6.91830970918931e+002	2.28437025915906e-001,1.04625357090288e-001
7.07945784384132e+002	2.31435018520005e-001,1.08794320325381e-001
7.24435960074984e+002	2.34545440237357e-001,1.12892613042961e-001
7.41310241300911e+002	2.37767188169890e-001,1.16916844282823e-001
7.58577575029177e+002	2.41098984229426e-001,1.20863555710237e-001
7.76247116628685e+002	2.44539364644378e-001,1.24729232799516e-001
7.94328234724275e+002	2.48086670210073e-001,1.28510317146167e-001
8.12830516164092e+002	2.51739037402836e-001,1.32203219868422e-001
8.31763771102664e+002	2.55494390478003e-001,1.35804336045242e-001
8.51138038202369e+002	2.59350434670307e-001,1.39310060123645e-001
8.70963589956073e+002	2.63304650611694e-001,1.42716802213663e-001
8.91250938133738e+002	2.67354290076194e-001,1.46021005174585e-001
9.12010839355902e+002	2.71496373154155e-001,1.49219162381698e-001
9.33254300796983e+002	2.75727686948743e-001,1.52307836048761e-001
9.54992586021428e+002	2.80044785876206e-001,1.55283675968210e-001
9.77237220955802e+002	2.84443993638030e-001,1.58143438518981e-001
9.99999999999991e+002	2.88921406917817e-001,1.60884005781056e-001
1.02329299228075e+003	2.93472900838765e-001,1.63502404586801e-001
1.04712854805089e+003	2.98094136199081e-001,1.65995825332061e-001
1.07151930523760e+003	3.02780568482885e-001,1.68361640365147e-001
1.09647819614318e+003	3.07527458623380e-001,1.70597421769469e-001
1.12201845430195e+003	3.12329885473687e-001,1.72700958355836e-001
1.14815362149687e+003	3.17182759919034e-001,1.74670271683538e-001
1.17489755493952e+003	3.22080840542528e-001,1.76503630935199e-001
1.20226443461740e+003	3.27018750735714e-001,1.78199566479229e-001
1.23026877081237e+003	3.31990997125205e-001,1.79756881965276e-001
1.25892541179416e+003	3.36991989168056e-001,1.81174664812401e-001
1.28824955169312e+003	3.42016059751811e-001,1.82452294966462e-001
1.31825673855640e+003	3.47057486620528e-001,1.83589451822258e-001
1.34896288259164e+003	3.52110514436049e-001,1.84586119226910e-001
1.38038426460287e+003	3.57169377274389e-001,1.85442588503453e-001
1.41253754462274e+003	3.62228321350885e-001,1.86159459457278e-001
1.44543977074591e+003	3.67281627764480e-001,1.86737639352346e-001
1.47910838816819e+003	3.72323635051636e-001,1.87178339868702e-001
1.51356124843619e+003	3.77348761343554e-001,1.87483072077086e-001
1.54881661891247e+003	3.82351525926810e-001,1.87653639490071e-001
1.58489319246110e+003	3.87326570016876e-001,1.87692129271591e-001
1.62181009735891e+003	3.92268676566158e-001,1.87600901707628e-001
1.65958690743754e+003	3.97172788942817e-001,1.87382578059766e-001
1.69824365246173e+003	4.02034028333467e-001,1.87040026940025e-001
1.73780082874936e+003	4.06847709741434e-001,1.86576349359609e-001
1.77827941003891e+003	4.11609356472262e-001,1.85994862615641e-001
1.81970085860997e+003	4.16314713019136e-001,1.85299083188698e-001
1.86208713666285e+003	4.20959756282397e-001,1.84492708829689e-001
1.90546071796323e+003	4.25540705078974e-001,1.83579600017586e-001
1.94984459975803e+003	4.30054027918948e-001,1.82563760969624e-001
1.99526231496886e+003	4.34496449047174e-001,1.81449320383065e-001
2.04173794466951e+003	4.38864952767632e-001,1.80240512082634e-001
2.08929613085402e+003	4.43156786086633e-001,1.78941655740478e-001
2.13796208950221e+003	4.47369459727897e-001,1.77557137826267e-001
2.18776162394953e+003	4.51500747587713e-001,1.76091392934163e-001
2.23872113856832e+003	4.55548684711651e-001,1.74548885621042e-001
2.29086765276775e+003	4.59511563885577e-001,1.72934092876986e-001
2.34422881531990e+003	4.63387930942991e-001,1.71251487334888e-001
2.39883291901947e+003	4.67176578897880e-001,1.69505521311398e-001
2.45470891568501e+003	4.70876541017511e-001,1.67700611756610e-001
2.51188643150955e+003	4.74487082952832e-001,1.65841126175152e-001
2.57039578276884e+003	4.78007694045630e-001,1.63931369566926e-001
2.63026799189535e+003	4.81438077931358e-001,1.61975572421842e-001
2.69153480392689e+003	4.84778142554799e-001,1.59977879789679e-001
2.75422870333814e+003	4.88027989712616e-001,1.57942341433881e-001
2.81838293126442e+003	4.91187904232562e-001,1.55872903066685e-001
2.88403150312658e+003	4.94258342893837e-001,1.53773398652666e-001
2.95120922666635e+003	4.97239923186983e-001,1.51647543758526e-001
3.01995172040198e+003	5.00133412004958e-001,1.49498929918873e-001
3.09029543251356e+003	5.02939714349863e-001,1.47331019980758e-001
3.16227766016835e+003	5.05659862132225e-001,1.45147144383918e-001
3.23593656929625e+003	5.08295003132105e-001,1.42950498328881e-001
3.31131121482588e+003	5.10846390183552e-001,1.40744139781396e-001
3.38844156139199e+003	5.13315370636286e-001,1.38530988258896e-001
3.46736850452528e+003	5.15703376141038e-001,1.36313824342848e-001
3.54813389233572e+003	5.18011912797773e-001,1.34095289859821e-001
3.63078054770097e+003	5.20242551699133e-001,1.31877888673832e-001
3.71535229097168e+003	5.22396919895002e-001,1.29663988032889e-001
3.80189396320557e+003	5.24476691797974e-001,1.27455820413613e-001
3.89045144994276e+003	5.26483581043974e-001,1.25255485809265e-001
3.98107170553493e+003	5.28419332817106e-001,1.23064954408333e-001
4.07380277804108e+003	5.30285716643185e-001,1.20886069613059e-001
4.16869383470331e+003	5.32084519652240e-001,1.18720551349720e-001
4.26579518801588e+003	5.33817540306588e-001,1.16569999625157e-001
4.36515832240161e+003	5.35486582587849e-001,1.14435898286838e-001
4.46683592150958e+003	5.37093450633471e-001,1.12319618946646e-001
4.57088189614870e+003	5.38639943810979e-001,1.10222425031536e-001
4.67735141287193e+003	5.40127852216157e-001,1.08145475927130e-001
4.78630092322633e+003	5.41558952579773e-001,1.06089831183254e-001
4.89778819368441e+003	5.42935004566150e-001,1.04056454753276e-001
5.01187233627267e+003	5.44257747445923e-001,1.02046219241861e-001
5.12861383991359e+003	5.45528897124623e-001,1.00059910138437e-001
5.24807460249767e+003	5.46750143508240e-001,9.80982300162099e-002
5.37031796370247e+003	5.47923148186716e-001,9.61618026789762e-002
5.49540873857618e+003	5.49049542416261e-001,9.42511772402485e-002
5.62341325190343e+003	5.50130925381491e-001,9.23668321213517e-002
5.75439937337150e+003	5.51168862718679e-001,9.05091789571126e-002
5.88843655355582e+003	5.52164885281776e-001,8.86785663996017e-002
6.02559586074351e+003	5.53120488133358e-001,8.68752838120673e-002
6.16595001861475e+003	5.54037129743219e-001,8.50995648467452e-002
6.30957344480186e+003	5.54916231377969e-001,8.33515909016228e-002
6.45654229034648e+003	5.55759176665686e-001,8.16314944525017e-002
6.60693448007588e+003	5.56567311320383e-001,7.99393622578463e-002
6.76082975391974e+003	5.57341943011816e-001,7.82752384349143e-002
6.91830970918928e+003	5.58084341366913e-001,7.66391274065736e-002
7.07945784384129e+003	5.58795738089871e-001,7.50309967190007e-002
7.24435960074981e+003	5.59477327188751e-001,7.34507797311546e-002
7.41310241300908e+003	5.60130265297143e-001,7.18983781775198e-002
7.58577575029174e+003	5.60755672080237e-001,7.03736646061397e-002
7.76247116628682e+003	5.61354630715339e-001,6.88764846943846e-002
7.94328234724272e+003	5.61928188437614e-001,6.74066594452889e-002
8.12830516164089e+003	5.62477357142469e-001,6.59639872675884e-002
8.31763771102661e+003	5.63003114036703e-001,6.45482459428291e-002
8.51138038202366e+003	5.63506402331101e-001,6.31591944831297e-002
8.70963589956070e+003	5.63988131967827e-001,6.17965748833065e-002
8.91250938133734e+003	5.64449180376458e-001,6.04601137712091e-002
9.12010839355898e+003	5.64890393253093e-001,5.91495239601433e-002
9.33254300796979e+003	5.65312585357430e-001,5.78645059073332e-002
9.54992586021424e+003	5.65716541323212e-001,5.66047490823555e-002
9.77237220955798e+003	5.66103016477850e-001,5.53699332494891e-002
9.99999999999987e+003	5.66472737667481e-001,5.41597296678564e-002
1.02329299228074e+004	5.66826404084065e-001,5.29738022132090e-002
1.04712854805089e+004	5.67164688091518e-001,5.18118084251202e-002
1.07151930523759e+004	5.67488236048179e-001,5.06734004832678e-002
1.09647819614317e+004	5.67797669123245e-001,4.95582261164078e-002
1.12201845430195e+004	5.68093584105061e-001,4.84659294475183e-002
1.14815362149687e+004	5.68376554199437e-001,4.73961517785143e-002
1.17489755493951e+004	5.68647129816381e-001,4.63485323177834e-002
1.20226443461740e+004	5.68905839343886e-001,4.53227088537139e-002
1.23026877081237e+004	5.69153189907572e-001,4.43183183772378e-002
1.25892541179415e+004	5.69389668115191e-001,4.33349976563044e-002
1.28824955169312e+004	5.69615740785172e-001,4.23723837650833e-002
1.31825673855639e+004	5.69831855658511e-001,4.14301145705619e-002
1.34896288259164e+004	5.70038442093470e-001,4.05078291790913e-002
1.38038426460287e+004	5.70235911742658e-001,3.96051683453231e-002
1.41253754462274e+004	5.70424659212185e-001,3.87217748458442e-002
1.44543977074591e+004	5.70605062702677e-001,3.78572938197264e-002
1.47910838816819e+004	5.70777484632027e-001,3.70113730780870e-002
1.51356124843619e+004	5.70942272239834e-001,3.61836633846365e-002
